#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2455 2.9417E-04 1.0137E-04  -2.30   0.60 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=12.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  13  0.109671  3.5438  5.3472 -2.7407 17.1041 13.9189 12.2446 11.5130 11.1025
  14  0.120538  3.5512  5.2981 -2.6211 16.5327 13.5132 11.8892 11.2061 10.8169
  15  0.133064  3.5588  5.2495 -2.4990 15.9774 13.1026 11.5323 10.8919 10.5230
  16  0.146789  3.5661  5.2076 -2.3852 15.4761 12.7207 11.2034 10.5980 10.2470
  17  0.160190  3.5723  5.1757 -2.2908 15.0700 12.4054 10.9337 10.3543 10.0173
  18  0.172643  3.5773  5.1510 -2.2136 14.7457 12.1496 10.7158 10.1553  9.8290
  19  0.184842  3.5815  5.1293 -2.1454 14.4665 11.9265 10.5255  9.9801  9.6624
  20  0.198784  3.5856  5.1068 -2.0753 14.1882 11.7013 10.3323  9.8008  9.4912
  21  0.215959  3.5898  5.0827 -1.9989 13.8902 11.4587 10.1237  9.6061  9.3046
  22  0.232537  3.5935  5.0621 -1.9318 13.6295 11.2465  9.9418  9.4356  9.1407
  23  0.248965  3.5968  5.0440 -1.8703 13.3924 11.0533  9.7765  9.2799  8.9906
  24  0.267466  3.6003  5.0255 -1.8062 13.1477 10.8527  9.6044  9.1173  8.8337
  25  0.290053  3.6041  5.0055 -1.7352 12.8806 10.6319  9.4139  8.9369  8.6596
  26  0.303293  3.6062  4.9980 -1.7000 12.7468 10.5213  9.3187  8.8472  8.5735
  27  0.310712  3.6073  4.9945 -1.6819 12.6777 10.4640  9.2695  8.8010  8.5291
  28  0.315871  3.6080  4.9921 -1.6694 12.6300 10.4244  9.2355  8.7690  8.4984
  29  0.319637  3.6085  4.9900 -1.6599 12.5937 10.3944  9.2097  8.7449  8.4752
  30  0.322563  3.6090  4.9880 -1.6520 12.5635 10.3694  9.1883  8.7247  8.4559
  31  0.325219  3.6095  4.9860 -1.6446 12.5350 10.3459  9.1683  8.7060  8.4379
  32  0.327925  3.6099  4.9839 -1.6370 12.5057 10.3218  9.1476  8.6866  8.4194
  33  0.331170  3.6105  4.9815 -1.6283 12.4724 10.2942  9.1239  8.6644  8.3981
  34  0.335413  3.6111  4.9786 -1.6174 12.4318 10.2603  9.0946  8.6368  8.3715
  35  0.341331  3.6118  4.9747 -1.6029 12.3788 10.2156  9.0557  8.5999  8.3359
  36  0.350279  3.6130  4.9683 -1.5806 12.2971 10.1467  8.9956  8.5429  8.2810
  37  0.371786  3.6168  4.9490 -1.5203 12.0659  9.9556  8.8320  8.3893  8.1336
  38  0.396668  3.6231  4.9222 -1.4402 11.7316  9.6873  8.6098  8.1837  7.9387
  39  0.409809  3.6268  4.9068 -1.3959 11.5441  9.5368  8.4856  8.0693  7.8306
  40  0.422555  3.6307  4.8916 -1.3517 11.3537  9.3848  8.3610  7.9552  7.7234
  41  0.435639  3.6350  4.8761 -1.3055 11.1492  9.2230  8.2294  7.8355  7.6116
  42  0.448400  3.6396  4.8608 -1.2595 10.9422  9.0605  8.0977  7.7162  7.5007
  43  0.459098  3.6438  4.8475 -1.2194 10.7603  8.9187  7.9828  7.6125  7.4043
  44  0.468811  3.6478  4.8352 -1.1817 10.5863  8.7843  7.8745  7.5150  7.3141
  45  0.477967  3.6519  4.8237 -1.1453 10.4141  8.6534  7.7696  7.4210  7.2273
  46  0.486679  3.6561  4.8130 -1.1099 10.2434  8.5255  7.6678  7.3300  7.1438
  47  0.495192  3.6605  4.8030 -1.0751 10.0717  8.3986  7.5671  7.2403  7.0616
  48  0.503659  3.6650  4.7935 -1.0401  9.8978  8.2717  7.4665  7.1507  6.9796
  49  0.511882  3.6696  4.7849 -1.0057  9.7233  8.1462  7.3673  7.0625  6.8992
  50  0.520108  3.6747  4.7767 -0.9706  9.5439  8.0187  7.2668  6.9734  6.8180
  51  0.528461  3.6800  4.7688 -0.9347  9.3594  7.8891  7.1643  6.8822  6.7351
  52  0.533147  3.6829  4.7645 -0.9144  9.2559  7.8168  7.1069  6.8311  6.6885
  53  0.537848  3.6860  4.7602 -0.8940  9.1523  7.7446  7.0495  6.7800  6.6420
  54  0.542581  3.6891  4.7559 -0.8735  9.0489  7.6718  6.9917  6.7289  6.5956
  55  0.547355  3.6922  4.7514 -0.8529  8.9458  7.5990  6.9339  6.6776  6.5491
  56  0.552155  3.6953  4.7469 -0.8321  8.8438  7.5266  6.8761  6.6264  6.5026
  57  0.556958  3.6984  4.7424 -0.8113  8.7434  7.4552  6.8187  6.5752  6.4560
  58  0.561723  3.7016  4.7379 -0.7906  8.6447  7.3851  6.7619  6.5245  6.4097
  59  0.566454  3.7047  4.7334 -0.7700  8.5474  7.3160  6.7059  6.4744  6.3638
  60  0.571134  3.7078  4.7289 -0.7496  8.4523  7.2482  6.6508  6.4248  6.3184
  61  0.575761  3.7108  4.7244 -0.7294  8.3596  7.1820  6.5966  6.3761  6.2737
  62  0.580323  3.7138  4.7198 -0.7094  8.2695  7.1171  6.5435  6.3282  6.2297
  63  0.584824  3.7168  4.7152 -0.6897  8.1820  7.0537  6.4913  6.2811  6.1864
  64  0.589255  3.7196  4.7105 -0.6703  8.0972  6.9917  6.4402  6.2350  6.1440
  65  0.593619  3.7225  4.7058 -0.6512  8.0151  6.9313  6.3902  6.1897  6.1022
  66  0.597911  3.7252  4.7009 -0.6323  7.9359  6.8725  6.3413  6.1454  6.0613
  67  0.602143  3.7278  4.6960 -0.6137  7.8593  6.8149  6.2934  6.1018  6.0210
  68  0.606300  3.7304  4.6911 -0.5954  7.7848  6.7586  6.2464  6.0591  5.9815
  69  0.610386  3.7330  4.6861 -0.5774  7.7120  6.7031  6.2002  6.0173  5.9429
  70  0.614399  3.7354  4.6811 -0.5596  7.6413  6.6487  6.1549  5.9763  5.9050
  71  0.618344  3.7378  4.6760 -0.5422  7.5726  6.5954  6.1103  5.9359  5.8675
  72  0.622226  3.7401  4.6709 -0.5249  7.5059  6.5433  6.0666  5.8961  5.8306
  73  0.626040  3.7425  4.6657 -0.5078  7.4412  6.4923  6.0236  5.8570  5.7943
  74  0.629794  3.7447  4.6604 -0.4910  7.3784  6.4424  5.9814  5.8183  5.7583
  75  0.633490  3.7469  4.6552 -0.4744  7.3172  6.3933  5.9398  5.7803  5.7229
  76  0.637126  3.7491  4.6498 -0.4580  7.2577  6.3452  5.8987  5.7428  5.6878
  77  0.640707  3.7512  4.6444 -0.4418  7.1995  6.2978  5.8584  5.7057  5.6532
  78  0.644229  3.7532  4.6390 -0.4258  7.1426  6.2512  5.8186  5.6693  5.6192
  79  0.647700  3.7552  4.6335 -0.4100  7.0865  6.2051  5.7795  5.6335  5.5858
  80  0.651120  3.7571  4.6279 -0.3944  7.0313  6.1596  5.7409  5.5983  5.5530
  81  0.654489  3.7590  4.6223 -0.3789  6.9772  6.1147  5.7028  5.5636  5.5206
  82  0.659327  3.7618  4.6140 -0.3565  6.9003  6.0502  5.6480  5.5133  5.4736
  83  0.664160  3.7644  4.6054 -0.3341  6.8252  5.9862  5.5927  5.4623  5.4258
  84  0.668977  3.7670  4.5965 -0.3114  6.7514  5.9224  5.5372  5.4109  5.3773
  85  0.673768  3.7697  4.5874 -0.2888  6.6785  5.8585  5.4816  5.3594  5.3288
  86  0.678524  3.7723  4.5781 -0.2661  6.6063  5.7946  5.4259  5.3077  5.2801
  87  0.683236  3.7748  4.5686 -0.2433  6.5350  5.7309  5.3702  5.2561  5.2314
  88  0.687893  3.7774  4.5591 -0.2205  6.4642  5.6673  5.3146  5.2045  5.1827
  89  0.692486  3.7799  4.5494 -0.1979  6.3943  5.6041  5.2593  5.1531  5.1341
  90  0.697005  3.7824  4.5395 -0.1752  6.3253  5.5412  5.2041  5.1018  5.0857
  91  0.701437  3.7849  4.5295 -0.1526  6.2575  5.4787  5.1492  5.0507  5.0375
  92  0.705771  3.7873  4.5193 -0.1301  6.1911  5.4167  5.0946  4.9999  4.9895
  93  0.710003  3.7896  4.5090 -0.1078  6.1258  5.3552  5.0403  4.9493  4.9416
  94  0.714132  3.7919  4.4985 -0.0856  6.0619  5.2942  4.9862  4.8986  4.8936
  95  0.718160  3.7942  4.4877 -0.0635  5.9989  5.2336  4.9323  4.8482  4.8458
  96  0.722089  3.7963  4.4767 -0.0415  5.9366  5.1735  4.8789  4.7981  4.7981
  97  0.725915  3.7984  4.4653 -0.0195  5.8744  5.1137  4.8260  4.7487  4.7512
  98  0.729643  3.8004  4.4536  0.0023  5.8131  5.0542  4.7733  4.6994  4.7043
  99  0.733274  3.8023  4.4417  0.0241  5.7528  4.9950  4.7207  4.6500  4.6572
 100  0.736807  3.8042  4.4294  0.0458  5.6939  4.9362  4.6678  4.6001  4.6095
 101  0.740245  3.8059  4.4169  0.0675  5.6363  4.8778  4.6148  4.5498  4.5613
 102  0.743591  3.8076  4.4039  0.0891  5.5793  4.8197  4.5618  4.4995  4.5131
 103  0.746845  3.8091  4.3907  0.1106  5.5230  4.7620  4.5089  4.4491  4.4646
 104  0.750010  3.8107  4.3771  0.1321  5.4670  4.7044  4.4560  4.3988  4.4161
 105  0.753083  3.8121  4.3632  0.1536  5.4116  4.6473  4.4033  4.3483  4.3674
 106  0.756063  3.8135  4.3490  0.1749  5.3569  4.5904  4.3505  4.2978  4.3185
 107  0.758954  3.8148  4.3344  0.1961  5.3028  4.5339  4.2978  4.2471  4.2694
 108  0.761761  3.8159  4.3196  0.2173  5.2494  4.4777  4.2454  4.1966  4.2203
 109  0.764490  3.8171  4.3045  0.2384  5.1967  4.4220  4.1932  4.1463  4.1714
